# q,dist_q
-1.085271317829457516e+00,2.954112899999994934e-01
-1.007751937984496138e+00,3.300916499999994036e-01
-9.302325581395347598e-01,3.560258099999993320e-01
-8.527131782945733818e-01,3.768541499999993327e-01
-7.751937984496124479e-01,3.898005900000037771e-01
-6.976744186046515139e-01,3.963112199999992979e-01
-6.201550387596901359e-01,3.969304199999992844e-01
-5.426356589147287579e-01,3.947632199999993041e-01
-4.651162790697673799e-01,3.882758099999993329e-01
-3.875968992248060019e-01,3.804300299999993085e-01
-3.100775193798450680e-01,3.732911700000036137e-01
-2.325581395348841340e-01,3.675506699999993576e-01
-1.550387596899227560e-01,3.633942899999993426e-01
-7.751937984496137801e-02,3.599396699999993787e-01
0.000000000000000000e+00,3.602324999999993449e-01
7.751937984496137801e-02,3.618011399999993549e-01
1.550387596899227560e-01,3.654028199999993509e-01
2.325581395348836899e-01,3.697191600000035994e-01
3.100775193798446239e-01,3.762697799999993320e-01
3.875968992248060019e-01,3.848727899999993540e-01
4.651162790697673799e-01,3.918981299999992896e-01
5.426356589147287579e-01,3.963318599999993141e-01
6.201550387596901359e-01,3.985055099999992856e-01
6.976744186046510698e-01,3.953101800000038413e-01
7.751937984496120038e-01,3.912182999999992972e-01
8.527131782945733818e-01,3.780499799999993416e-01
9.302325581395347598e-01,3.551086199999993753e-01
1.007751937984496138e+00,3.273207299999994491e-01
1.085271317829457516e+00,2.949197999999995101e-01
1.162790697674418894e+00,2.558431199999995354e-01
1.240310077519379828e+00,2.172940500000020980e-01
1.317829457364340762e+00,1.774936799999996817e-01
1.395348837209302140e+00,1.376494499999997567e-01
1.472868217054263518e+00,1.026968999999998133e-01
1.550387596899224896e+00,7.305785999999986347e-02
1.627906976744186274e+00,4.990622999999991261e-02
1.705426356589147208e+00,3.186042000000031266e-02
1.782945736434108142e+00,1.937837999999996591e-02
1.860465116279069520e+00,1.123847999999997953e-02
1.937984496124030898e+00,6.135239999999988862e-03
2.015503875968992276e+00,3.200489999999994208e-03
2.093023255813953654e+00,1.513169999999997278e-03
2.170542635658914588e+00,7.056300000000068897e-04
2.248062015503875521e+00,2.837999999999995257e-04
2.325581395348836899e+00,1.418999999999997629e-04
2.403100775193798277e+00,5.804999999999989991e-05
2.480620155038759655e+00,1.289999999999997644e-05
2.558139534883721034e+00,3.869999999999993440e-06
2.635658914728682412e+00,1.289999999999997813e-06
2.713178294573643345e+00,0.000000000000000000e+00
2.790697674418604279e+00,0.000000000000000000e+00
2.868217054263565657e+00,0.000000000000000000e+00
2.945736434108527035e+00,0.000000000000000000e+00
3.023255813953488413e+00,0.000000000000000000e+00
3.100775193798449791e+00,0.000000000000000000e+00
3.178294573643411169e+00,0.000000000000000000e+00
3.255813953488372547e+00,0.000000000000000000e+00
3.333333333333333925e+00,0.000000000000000000e+00
3.410852713178294415e+00,0.000000000000000000e+00
3.488372093023254905e+00,0.000000000000000000e+00
3.565891472868216283e+00,0.000000000000000000e+00
3.643410852713177661e+00,0.000000000000000000e+00
3.720930232558139039e+00,0.000000000000000000e+00
3.798449612403100417e+00,0.000000000000000000e+00
3.875968992248061795e+00,0.000000000000000000e+00
3.953488372093023173e+00,0.000000000000000000e+00
4.031007751937984551e+00,0.000000000000000000e+00
4.108527131782945929e+00,0.000000000000000000e+00
4.186046511627907307e+00,0.000000000000000000e+00
4.263565891472868685e+00,0.000000000000000000e+00
4.341085271317830063e+00,0.000000000000000000e+00
4.418604651162790553e+00,0.000000000000000000e+00
4.496124031007751043e+00,0.000000000000000000e+00
4.573643410852712421e+00,0.000000000000000000e+00
4.651162790697673799e+00,0.000000000000000000e+00
4.728682170542635177e+00,0.000000000000000000e+00
4.806201550387596555e+00,0.000000000000000000e+00
4.883720930232557933e+00,0.000000000000000000e+00
4.961240310077519311e+00,0.000000000000000000e+00
