# q,dist_q
2.317829457364340762e+00,1.226585722759183511e-01
2.395348837209302140e+00,1.173792257189519850e-01
2.472868217054263518e+00,1.125997508459508772e-01
2.550387596899224896e+00,1.078582779138360231e-01
2.627906976744186274e+00,1.046266513253939767e-01
2.705426356589147208e+00,1.010120821018686138e-01
2.782945736434108142e+00,9.610837011443053302e-02
2.860465116279069520e+00,9.280804770977105211e-02
2.937984496124030898e+00,8.914378364047020886e-02
3.015503875968992276e+00,8.665611812553201954e-02
3.093023255813953654e+00,8.299039244312016173e-02
3.170542635658914588e+00,7.909373188916969666e-02
3.248062015503875521e+00,7.608134726737818265e-02
3.325581395348836899e+00,7.374568951598498012e-02
3.403100775193798277e+00,7.112794043416695300e-02
3.480620155038759655e+00,6.835672197569291064e-02
3.558139534883721034e+00,6.576820515609506368e-02
3.635658914728682412e+00,6.347347257181013003e-02
3.713178294573643345e+00,6.147252422283881745e-02
3.790697674418604279e+00,5.912517356655682538e-02
3.868217054263565657e+00,5.704383649647927490e-02
3.945736434108527035e+00,5.478856746619160251e-02
4.023255813953488413e+00,5.199542481105241809e-02
4.100775193798449791e+00,5.160078927107985408e-02
4.178294573643411169e+00,4.957353188610966188e-02
4.255813953488372547e+00,4.810899554887812513e-02
4.333333333333333925e+00,4.646614241210342972e-02
4.410852713178294415e+00,4.520038545797023383e-02
4.488372093023254905e+00,4.383670042539731387e-02
4.565891472868216283e+00,4.251832539926674037e-02
4.643410852713177661e+00,4.091639742960030690e-02
4.720930232558139039e+00,3.923554235193937173e-02
4.798449612403100417e+00,3.770669503782342336e-02
4.875968992248061795e+00,3.591329575061474877e-02
4.953488372093023173e+00,3.531403437510084731e-02
5.031007751937984551e+00,3.446922199693735339e-02
5.108527131782945929e+00,3.363902574988394956e-02
5.186046511627907307e+00,3.261005011973325263e-02
5.263565891472868685e+00,3.137937188026324042e-02
5.341085271317830063e+00,3.018961880790149710e-02
5.418604651162790553e+00,2.887270539488258694e-02
5.496124031007751043e+00,2.828075208492307133e-02
5.573643410852712421e+00,2.773995523384955100e-02
5.651162790697673799e+00,2.628565018839508494e-02
5.728682170542635177e+00,2.532537037446183636e-02
5.806201550387596555e+00,2.473049383828096470e-02
5.883720930232557933e+00,2.406399825966062597e-02
5.961240310077519311e+00,2.295317229529339476e-02
